0,'Azeroth',-16000,-19199.9,7466.6,16000
0,'Kalimdor',-11733.3,-19733.2,12799.9,17066.6
1,'DunMorogh',-7160.42,-3122.92,-3877.08,1802.08
3,'Badlands',-7547.92,-4566.67,-5889.58,-2079.17
4,'BlastedLands',-12800,-4591.67,-10566.7,-1241.67
8,'SwampOfSorrows',-11150,-4516.67,-9620.83,-2222.92
10,'Duskwood',-11516.7,-1866.67,-9716.67,833.33
11,'Wetlands',-4904.17,-4525,-2147.92,-389.58
12,'Elwynn',-10254.2,-1935.42,-7939.58,1535.42
14,'Durotar',-1716.67,-7250,1808.33,-1962.5
15,'Dustwallow',-5533.33,-6225,-2033.33,-975
16,'Aszhara',1960.42,-8347.92,5341.67,-3277.08
17,'Barrens',-5143.75,-7510.42,1612.5,2622.92
28,'WesternPlaguelands',500,-3883.33,3366.67,416.67
33,'Stranglethorn',-15422.9,-4160.42,-11168.8,2220.83
36,'Alterac',-366.67,-2016.67,1500,783.33
36,'Alterac Mountains', -366.67, -2016.67, 1500, 783.33
38,'LochModan',-6327.08,-4752.08,-4487.5,-1993.75
40,'Westfall',-11733.3,-483.33,-9400,3016.67
41,'DeadwindPass',-11533.3,-3333.33,-9866.67,-833.33
44,'Redridge',-10022.9,-3741.67,-8575,-1570.83
45,'Arathi',-2533.33,-4466.67,-133.33,-866.67
46,'BurningSteppes',-8983.33,-3195.83,-7031.25,-266.67
47,'Hinterlands',-1100,-5425,1466.67,-1575
51,'SearingGorge',-7587.5,-2554.17,-6100,-322.92
85,'Tirisfal',825,-1485.42,3837.5,3033.33
130,'Silverpine',-1133.33,-750,1666.67,3450
139,'EasternPlaguelands',1218.75,-6056.25,3800,-2185.42
141,'Teldrassil',8437.5,-1277.08,11831.3,3814.58
148,'Darkshore',3966.67,-3608.33,8333.33,2941.67
215,'Mulgore',-3697.92,-3089.58,-272.92,2047.92
267,'Hilsbrad',-1733.33,-2133.33,400,1066.67
331,'Ashenvale',829.17,-4066.67,4672.92,1700
357,'Feralas',-7000,-1508.33,-2366.67,5441.67
361,'Felwood',3300,-4108.33,7133.33,1641.67
400,'ThousandNeedles',-6900,-4833.33,-3966.67,-433.33
405,'Desolace',-2545.83,-262.5,452.08,4233.33
406,'StonetalonMountains',-339.58,-1637.5,2916.67,3245.83
440,'Tanaris',-10475,-7118.75,-5875,-218.75
490,'UngoroCrater',-8433.33,-3166.67,-5966.67,533.33
493,'Moonglade',6952.08,-3689.58,8491.67,-1381.25
618,'Winterspring',3800,-7416.67,8533.33,-316.67
717,'The Stockade', -35, -195, 223, 195
718,'Wailing Caverns', -413, -380, 211, 551
719,'Blackfathom Deeps', -903, -615, -124, 554
721,'Gnomeregan', -940, -240, -212, 854
722,'Razorfen Downs', 2271, 592, 2643, 1156
796,'Scarlet Monastery', 1580, -510, 2055, 200
796,'Scarlet Monastery', 1620, 660, 2295, 1575
796,'Scarlet Monastery', 472, 935, 1277, 2223
796,'Scarlet Monastery', -68, -752, 318, -175
1176,'Zul''Farrak', 1200, 370, 2080, 1700
1337,'Uldaman', -385, -179, 190, 670
1377,'Silithus',-8281.25,-945.83,-5958.33,2537.5
1477,'Sunken Temple', -765, -170, -202, 639
1497,'Undercity',1237.84,-86.18,1877.95,873.19
1519,'Stormwind',-9175.21,36.7,-8278.85,1380.97
1537,'Ironforge',-5096.85,-1504.22,-4569.24,-713.59
1637,'Ogrimmar',1338.46,-5083.21,2273.88,-3680.6
1638,'ThunderBluff',-1545.83,-527.08,-850,516.67
1657,'Darnassis',9532.59,1880.03,10238.3,2938.36
1977,'Zul''Gurub', -12490, -2440, -11380, -780
2017,'Stratholme', 3362, -3978, 4194, -2746
2057,'Scholomance', -100, -400, 345, 266
2100,'Maraudon', -224, -1292, 1235, 871
2257,'Deeprun Tram', -8349.22, 517.34, 0, 0
2437,'Ragefire Chasm', -455, -285, 55, 460
2557,'Dire Maul', -280, -900, 980, 990
2597,'Alterac Valley', -1739.58, -2456.25, 1085.42, 1781.25
2597,'AlteracValley',-1739.58,-2456.25,1085.42,1781.25
2717,'Molten Core', 456, -1435, 1274, -210
3277,'Warsong Gulch', 862.5, 895.83, 1627.08, 2041.67
3277,'WarsongGulch',862.5,895.83,1627.08,2041.67
3358,'Arathi Basin', 337.5, 102.08, 1508.33, 1858.33
3358,'ArathiBasin',337.5,102.08,1508.33,1858.33
3429,'Ruins of Ahn''Qiraj', -9891, 594, -8376, 2883
3456,'Naxxramas', 2360.42, -4377.08, 3597.92, -2520.83
